nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.355433597425857783e+00,-2.907272557180761829e+00,-3.020715139478410638e+00,-2.610931006449300540e+00,-2.303124363672445440e+00,-1.944031356311823222e+00,-2.190056006123575205e+00,-2.010345215037008693e+00,-2.332210117739548227e+00,-2.664770579209183143e+00,3.090060227573717455e+00,-2.833368374069829887e+00,2.986507992563842251e+00,2.985856366923971716e+00,-2.787965504093408597e+00,-2.699363555873360632e+00,-2.611906175958518261e+00,-2.271031156024106323e+00,-2.329677641251155062e+00,-2.112482654402914939e+00,-1.692505900852992573e+00,-2.077789383108780363e+00,-2.028667229483969159e+00,-2.032087774433053440e+00,2.663632005006297376e+00,4.252127558626677128e-01,6.799493963765379512e-02,-3.948161207430972985e-01,-3.381293130418331905e-01,-1.018250190462367533e-01,-5.196348527337962819e-01,-1.057360961579637104e+00,-5.590555501656511161e-01,-3.664255691608907517e-01,-7.505740063983493138e-02,3.910871417047616094e-01,2.988062615280545620e-01,3.959736764575422785e-01,4.473335970062278233e-01,1.432067993004170869e+00,2.337268763514345871e+00,2.042451231157977887e+00,1.223362964499028926e+00,1.125071081839303933e+00,8.878852936201325763e-01,5.941942946636136202e-01,5.058974765220842773e-01,6.636114027752192390e-01,4.948389592679940940e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.530829698680171713e+00,-2.733248556661288298e+00,-2.981335873228757816e+00,-2.928446511534119612e+00,-3.036917083348658508e+00,-2.755658637113290954e+00,-2.649678408710302691e+00,-2.424172712664380835e+00,-2.503490384101779487e+00,-2.402457453647085739e+00,-2.461976382424275300e+00,-2.686614676235239862e+00,-2.788072239777889649e+00,-2.823181548730268720e+00,-2.605295677302976287e+00,-2.467589021597651922e+00,-2.372890690669425151e+00,-2.669057760475512797e+00,-2.282925769960654439e+00,-2.371445651916948894e+00,-3.081997414989157136e+00,2.934314246483588295e+00,-2.873686686480734220e+00,3.093442696318096541e+00,-2.990757431311386938e+00,-2.671836550611770722e+00,-2.826173786787380848e+00,-2.733608525119834098e+00,-2.475136936881451977e+00,-2.762677022469489430e+00,-2.196344661837547729e+00,-2.062530097671835705e+00,-2.317385932120220371e+00,-2.509179627962640158e+00,-2.118198047151852670e+00,-2.597092834270882555e+00,-2.148218144755141168e+00,-4.346393828903126200e-01,-9.213291820943794175e-01,-1.029429865927951715e+00,-2.015505743540821015e+00,-1.995085434130152047e+00,-2.060382545813503885e+00,-1.024954163721138345e+00,-1.260311145460056181e+00,-8.027672884434617906e-01,-1.024248517678571835e+00,-2.838620484943432665e-01,-2.044498910811031411e+00,6.143338729629249650e-01,1.883422548135723185e+00,1.740485323046788935e+00,1.490826061805876179e+00,7.916957261065802332e-01,7.598630302215823029e-01,5.206768398279283394e-01,4.613234563925741050e-01,5.978499774816975476e-01,1.070785942082731479e+00,8.501614250355247204e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.026853996904914190e+00,-2.339119670195792366e+00,-1.959364684739073992e+00,-2.009672812832954847e+00,-1.975332977941428370e+00,-2.367522347242571268e+00,-2.278370008057506002e+00,-2.381649636693926819e+00,-2.336880958093659810e+00,-2.737802164531836002e+00,-2.665231691004144032e+00,-2.800472265321016785e+00,-2.601895603963771286e+00,-2.500352939262891816e+00,-2.385694584963792941e+00,-2.331816228190069396e+00,-2.400462074023263170e+00,-2.412070565089855734e+00,-2.595124226980138893e+00,-2.698927534058948474e+00,-2.873986035962282415e+00,-2.816954384359607655e+00,-2.670720279401594066e+00,-2.690143010117434397e+00,-2.883950285549701675e+00,-2.600534453833590831e+00,-2.497070643158643133e+00,-3.020093219265276741e+00,-3.041194364892480184e+00,-2.864071670620190968e+00,3.033648874444227594e+00,-3.079262343124976375e+00,-2.755120794022106523e+00,-2.772854682402898341e+00,-2.660114356944479841e+00,-2.404757074294859187e+00,-2.555876598002414291e+00,-2.256205644174620772e+00,-2.317140936141071528e+00,-2.516167381048346474e+00,-2.906234159086140689e+00,-2.473708513524185637e+00,3.018720921225933829e+00,-2.527759920596701626e+00,-1.050135306223624748e-01,-1.250996387304494695e+00,6.989509109361261019e-03,2.091055610566474598e+00,2.598658529543570239e+00,-2.087041177971095784e+00,-1.686453444910623212e+00,-2.348682179640405376e+00,-1.074767894254638589e+00,-2.395013987841646319e+00,2.332739617572514135e+00,2.698194599998236853e+00,1.136188109049356409e+00,1.549743603301935169e+00,1.795415253319685434e+00,1.111440529528372467e+00,4.550343168768438695e-01,8.930911926344535512e-02,4.528161747134235582e-01,1.992120077562433977e-01,3.320853289693913024e-01,6.933365057477298699e-01,4.565137109280278382e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.178271597950823535e-01,6.654119937467976031e-01,-3.037498088784402195e-01,-2.076057563886452240e+00,-2.131816450773661664e+00,-2.289359833766995145e+00,-2.072555438202058120e+00,-2.103118726573370623e+00,-1.930974537296830107e+00,-2.072081690560984235e+00,-1.931686725060089316e+00,-2.078796934855922096e+00,-2.093360388665089999e+00,-2.413981226629967836e+00,-2.521256182507676691e+00,-2.757253727037234370e+00,-2.630496733564430034e+00,-2.731388606913392358e+00,-2.585646795268267351e+00,-2.355591833820713354e+00,-2.369934363688871670e+00,-2.501404852864151707e+00,-2.498129570578388581e+00,-2.575621121561838756e+00,-2.844887388484853563e+00,-2.630289715145302853e+00,-2.554436380923551742e+00,-2.540773652388840453e+00,-2.590028043078024922e+00,-2.474160401795853836e+00,-2.435912393349553007e+00,-2.820464561630966926e+00,-2.691586295951633012e+00,-2.718849273499668318e+00,-2.991482517992607892e+00,-2.952569564160716808e+00,-2.774754507279590499e+00,-2.936403881509307645e+00,-2.574875282432793178e+00,-2.202314109262350605e+00,-2.430106439158778553e+00,-2.095359938051753801e+00,-2.333815524251206863e+00,-2.424005577293887548e+00,-2.358666025929497145e+00,-1.990034990387397507e+00,-2.092680760858878664e+00,-1.768458078515241283e+00,-8.261328073821818663e-01,-1.877171291329817526e+00,-1.420315751363511403e+00,-2.184741428992802881e+00,-1.750632016606586294e+00,-2.110878789779386366e+00,-2.230709850307129205e+00,-2.569214803769523936e+00,-2.303690776815935592e+00,-2.532219850290321261e+00,-2.750453757820132239e+00,-2.619529873825314770e+00,2.179876349069544084e+00,-7.850731412521082531e-01,2.633825324492589104e+00,9.625138744693615411e-01,1.757707729163932864e-01,-2.659826721544467643e-01,2.746225707940445626e-01,-9.555484503395132723e-02,4.723646767448623218e-01,8.196131204124382785e-01,4.595257363591723210e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.356901863612841819e+00,1.521882176795678943e+00,3.019089890259756270e-01,2.846081592178773434e+00,3.103106725013667244e+00,-2.717155064221684846e+00,-2.224286275228893217e+00,-2.502090480131470063e+00,-2.164072696482104874e+00,-2.144570228307860482e+00,-2.167482993235583244e+00,-2.386088991829336425e+00,-2.130838461208186541e+00,-2.219607821504044232e+00,-2.170566519997078281e+00,-2.401102757138142696e+00,-2.461101280223215504e+00,-2.689081966788674283e+00,-2.635679953568418110e+00,-2.676925163437489541e+00,-2.625125225083441372e+00,-2.515734883010011025e+00,-2.547780653346214841e+00,-2.583481053343949174e+00,-2.701638027385732777e+00,-2.727132428611693360e+00,-2.916177495454670421e+00,-2.796231749322555693e+00,-2.786101983617173428e+00,-2.775634326767160154e+00,-2.914644259777458668e+00,-2.683842974714517826e+00,-2.517662853759834896e+00,-2.831576821231826191e+00,-2.714723292784391173e+00,-2.656715460083516778e+00,-2.850638036560536825e+00,-2.782747063799411613e+00,-2.649244078549277681e+00,-2.819126545554506702e+00,-2.686764761539043977e+00,-2.369310550537805149e+00,-2.743018787095587108e+00,-2.576014512537477152e+00,-2.649758858395734329e+00,-2.707874405728331713e+00,-3.061096109156513201e+00,-2.317191910112316844e+00,-2.752631358267725759e+00,-2.275731651647838749e+00,-1.865475370055099447e+00,-2.655419952807003714e+00,-2.289907310690806330e+00,-2.506243051935779675e+00,-1.854648518990742234e+00,-2.255584341826063710e+00,-2.206912119885891421e+00,-2.524565610281466199e+00,-1.916632275690681064e+00,-2.338538135755547920e+00,-2.580419436148048806e+00,-2.266270582298673730e+00,-2.699507009675460534e+00,-2.826170921841157035e+00,-2.960597588260707624e+00,1.755944013126701675e+00,1.781154017864316597e+00,-9.349922463765606429e-01,-5.324835754503117607e-02,-6.692038498069544650e-01,1.226791798791481369e+00,1.350607776445748698e+00,4.122773189702850782e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.996144830229330980e-01,3.216254231821521342e-02,3.382959225094194222e-01,-1.162298181265343233e+00,-1.583506453380823631e+00,-2.676419009311523656e+00,-2.452195233754099313e+00,-2.161856596016484389e+00,-2.391564895493296206e+00,-2.139653605888434562e+00,-2.048072552233474841e+00,-2.224394884907852088e+00,-2.501324060398772087e+00,-2.200410686288396978e+00,-2.081102968683064880e+00,-1.930275459402031046e+00,-1.985928468731562591e+00,-2.032210836219512373e+00,-2.483918734583337784e+00,-2.479374640655663597e+00,-2.509792727629585940e+00,-2.725093409749340889e+00,-2.631080455921817052e+00,-2.644890890727715327e+00,-2.617243929566083427e+00,-2.724307568435694993e+00,-2.718036088958544649e+00,-2.806788958513054766e+00,-2.797981590124585249e+00,-2.743231545392710302e+00,-2.744619803467100549e+00,-2.664395853678243054e+00,-2.524663291627857298e+00,-2.500333478233424778e+00,-2.716813972920177900e+00,-2.420417187296124872e+00,-2.470294722818174193e+00,-2.649977761670176069e+00,-2.664537840126467216e+00,-2.477621520788533704e+00,-2.861113220353302289e+00,-2.779712586688118492e+00,-2.633273772996632012e+00,-2.848746654662235755e+00,-2.841199511763814911e+00,-2.849783132103693717e+00,-2.974802841722904212e+00,3.015582066685853491e+00,-3.052545591336278452e+00,2.916380210017539998e+00,3.106969950508010392e+00,3.063293153649123024e+00,2.724230572491091795e+00,1.149486269013755418e-01,-2.277680121808992819e+00,-1.645586867144916754e+00,-2.627178222598536284e+00,-2.620555552068364769e+00,-2.614658606829521226e+00,-2.264028554085571798e+00,-2.422173842766338403e+00,-2.841377253044432560e+00,-2.645192189894333357e+00,-2.898540831920857208e+00,2.635472797873841255e+00,-2.948828812536667510e+00,9.221124640102577874e-02,-6.571456444633467786e-01,-8.655735854831916321e-01,-6.117447435573288850e-01,-1.141392699268190647e+00,-1.219879107353275316e+00,-5.918255797889336867e-01,-3.146291285079977351e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.948478621654460508e-01,-1.580203414542755425e-01,2.289932702220585925e-01,3.782694832008868246e-01,8.440749544564312146e-01,-1.722910294189499814e+00,-2.406765140566517580e+00,-2.335911179975417973e+00,-2.403088000337344710e+00,-2.103097305102712866e+00,-2.369054334154817809e+00,-1.649603742957020280e+00,-2.066172583201832502e+00,-2.113648018676081097e+00,-2.381548862631131414e+00,-2.205547533235241886e+00,-2.177932139178863302e+00,-2.006360409441009018e+00,-2.124867242976737458e+00,-1.882449603021759899e+00,-2.351847969141106276e+00,-2.402308263044061754e+00,-2.473569856222230356e+00,-2.517355725023399771e+00,-2.458197484937725719e+00,-2.461259900091346431e+00,-2.608862483790133524e+00,-2.681031780505351847e+00,-2.641196476498987700e+00,-2.746097717104898805e+00,-2.782537836577192003e+00,-2.627124473783584158e+00,-2.603926192165876063e+00,-2.569393871565633258e+00,-2.516829973150243926e+00,-2.345750978571978784e+00,-2.499581500635962072e+00,-2.418278732426541566e+00,-2.484124707838792023e+00,-2.523799284646897512e+00,-2.380731895991942348e+00,-2.239039607848029689e+00,-2.191718366227874526e+00,-2.134995155905734521e+00,-2.009004541663006016e+00,-2.447276884533148511e+00,-2.742920417442340497e+00,-2.931681753845087446e+00,-3.044696366179803437e+00,3.015658321318005264e+00,2.968898633786472008e+00,2.866800076211120096e+00,-2.448326716320907703e+00,3.129653760182824929e+00,-2.357528542122595105e+00,-6.487554581577422708e-01,-1.995947091930670103e+00,-1.438637667122595776e+00,-1.957854661959560483e+00,-2.569329026510772884e+00,-2.754767472387087857e+00,-2.440291233718298258e+00,-2.563639621761551357e+00,-2.843979917427706283e+00,-2.653868809147152508e+00,-2.785625340810492290e+00,-2.579284053307465907e+00,-2.660250157879656463e+00,-1.765686246022223127e+00,-1.055573214441939189e+00,-9.990686723926008872e-01,-1.049114652696946592e+00,-1.247501981865831722e+00,-1.263471925332444012e+00,-1.417774586347854138e+00,-8.496186062785531234e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.049639591647302889e-02,7.443635851114459821e-03,-2.928876057767229590e-01,-5.623329448397627051e-01,4.960090536020144159e-01,-1.259146025814122272e+00,-1.685047948383376459e+00,-2.212086438003040278e+00,-2.181183441793533184e+00,-2.092468875881534629e+00,-2.082772863866718005e+00,-2.205778325014752461e+00,-2.146406960935119290e+00,-2.307136727909645746e+00,-2.486508344725485209e+00,-2.532682605973586298e+00,-2.277773210469538512e+00,-2.385882292752730116e+00,-2.301743535045219780e+00,-2.367280597081843574e+00,-2.348885736903243870e+00,-2.594647286342387726e+00,-2.495991245162353600e+00,-2.551100229642456974e+00,-2.504972835496709127e+00,-2.474006313795399148e+00,-2.424492213182251721e+00,-2.626625966817236701e+00,-2.691160197672744392e+00,-2.593708028398621579e+00,-2.590930819015027975e+00,-2.556435348966878074e+00,-2.426539935442763252e+00,-2.414519097974964446e+00,-2.422938038755542145e+00,-2.512549523815411856e+00,-2.420976684016526548e+00,-2.517913104958934056e+00,-2.406304474361778745e+00,-2.474150389578833042e+00,-2.471713783713364254e+00,-2.306594451766740939e+00,-2.195315474241047671e+00,-2.184917457078842773e+00,-2.191641244861028959e+00,-2.025826758484389423e+00,-2.374240761127929034e+00,-2.609585939145718125e+00,-2.590753628419180110e+00,-2.747054633307430827e+00,-2.909461547859913733e+00,-2.887845519652946447e+00,-2.865714136338090245e+00,-2.897608057524789338e+00,-2.859613609832522663e+00,-2.859711604316444333e+00,-1.752999791451350209e+00,-2.218087546589172732e+00,-2.455230335618952431e+00,-2.461667668238557649e+00,-2.553138719978337523e+00,-2.616016218917601055e+00,-2.582573772018720071e+00,-2.528978377697094881e+00,-2.564660788772165745e+00,-2.453127059655067832e+00,-2.614199177544044961e+00,-2.743078000517608750e+00,-2.711235142834009348e+00,-2.861866123990398858e+00,-2.224855247179151618e+00,-2.111073043538193694e+00,-1.507911585249295916e+00,-2.069231145722172371e+00,-2.172161418945642630e+00,-2.461532647102145255e+00,-2.319792339529205272e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.975607842378877432e-01,1.609616697775180169e-02,-2.023243547877954518e-01,-5.036012972592091019e-01,-6.472821940399395846e-01,-2.743611315531386818e-01,-1.194361884133636753e+00,-1.906997567611237399e+00,-2.199050435366647793e+00,-2.376042789856678716e+00,-2.328505642188004821e+00,-2.295405845806667067e+00,-2.257515707176392272e+00,-2.257532862166093501e+00,-2.306930851503792290e+00,-2.527715572151083112e+00,-2.564602160422398303e+00,-2.250014827620852031e+00,-2.452867311110578541e+00,-2.215625602171761521e+00,-2.433972371713022387e+00,-2.318561902822156906e+00,-2.629558394679842870e+00,-2.484607860490858133e+00,-2.480707919582808785e+00,-2.454187352589354720e+00,-2.415443594367195246e+00,-2.214983998672858778e+00,-2.582393384473957276e+00,-2.660902622861748945e+00,-2.610985747583944860e+00,-2.577452183084778081e+00,-2.665744057586211913e+00,-2.485183705630738871e+00,-2.417506504430607883e+00,-2.402433916110515710e+00,-2.496412771740716074e+00,-2.413298420585475945e+00,-2.510868119688852929e+00,-2.453306437730828016e+00,-2.491529954285077952e+00,-2.442198900971284559e+00,-2.329199113528412024e+00,-2.292809960371182232e+00,-2.312871037729303580e+00,-2.163016440004743579e+00,-2.073706674117742565e+00,-2.362985291904597052e+00,-2.610010298659359407e+00,-2.480373068623848098e+00,-2.579921148889528393e+00,-2.657188287631292223e+00,-2.702948951191169069e+00,-2.628731773446832065e+00,-2.757481298585580554e+00,-2.883071646214758754e+00,-2.787062578547048641e+00,-2.351878831175429951e+00,-2.447774995852797453e+00,-2.556510379131024635e+00,-2.475683589893642900e+00,-2.569991967143708145e+00,-2.708703643185794263e+00,-2.657533460238624468e+00,-2.664744565978178770e+00,-2.705615096205599368e+00,-2.590912865446766578e+00,-2.552687269948435755e+00,-2.712577668583759927e+00,-2.661792240787080210e+00,-3.077058242804927346e+00,-2.456606209755777037e+00,-2.433213187496777064e+00,-2.220220879571836115e+00,-2.276008544496175290e+00,-2.244844967194361995e+00,-2.485062263269179006e+00,-2.438327007156388948e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.034261256077497526e-01,-3.276518429683981659e-01,-1.167111427946490171e-01,-2.680130794942690020e-01,-6.306414824260266894e-01,-7.416032461350740013e-01,-8.769447608446515607e-01,-1.545706900649808091e+00,-2.276331074782952602e+00,-2.293998301496192216e+00,-2.629745893149870728e+00,-2.155193425581805489e+00,-2.099172114189372884e+00,-1.959552015524280266e+00,-2.145276740993635745e+00,-2.132324263854500579e+00,-2.330815804614856823e+00,-2.423095916426453833e+00,-2.231890554924476966e+00,-2.225192518932226360e+00,-2.131399627738598923e+00,-2.203941326450564731e+00,-1.992060666921651846e+00,-2.223831179070897335e+00,-2.190439721297598119e+00,-2.246941299408606874e+00,-2.209728007474015321e+00,-2.269202485691939053e+00,-2.165686218090633108e+00,-2.473405638203731716e+00,-2.534352213269493781e+00,-2.507582931655023550e+00,-2.502920897402377776e+00,-2.587253079552162660e+00,-2.428767556367315894e+00,-2.342876958845474089e+00,-2.315928467175297989e+00,-2.381563502985472702e+00,-2.342283251958488854e+00,-2.419736461727466814e+00,-2.364508053269335885e+00,-2.432303426127822021e+00,-2.397158963261617259e+00,-2.351247360817073861e+00,-2.349212255243773750e+00,-2.363841541004433555e+00,-2.198002727899438735e+00,-2.142550816826213733e+00,-2.259767267442481575e+00,-2.330215015229243125e+00,-2.233550149106681815e+00,-2.352797948941710349e+00,-2.377767289302449072e+00,-2.375351421353104175e+00,-2.309195444894830640e+00,-2.545602759871985477e+00,-2.666738285977466205e+00,-2.604155630743619998e+00,-2.379391917504828591e+00,-2.578734084206668609e+00,-2.715784875203830051e+00,-2.479879498560752182e+00,-2.599784371888742562e+00,-2.802039946846455631e+00,-2.741439753029388360e+00,-2.603130267700339839e+00,-2.687926012749535687e+00,-2.642934154915144607e+00,-2.524842005525814503e+00,-2.421635839910541765e+00,-2.387210709079441884e+00,-2.373619532248709696e+00,-2.086739778920237320e+00,-2.231598861463196304e+00,-2.198684374856545443e+00,-2.281209353724740208e+00,-2.389244274413792279e+00,-2.529709618848169139e+00,-2.501964055660209851e+00
