0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41875,0.0,3.275,3.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675,0.68375,0.46,0.0,0.17125,0.59125,0.3375,0.0,0.1125,0.04875,0.25875,0.57625,0.5675,0.47375,0.1125,0.5175,1.22625,1.05625,0.40625,0.5575,0.415,0.16625,0.07375,0.18125,0.07875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.50875,0.7575,0.7475,0.70875,0.7575,0.79125,1.14875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875,0.0,0.0875,0.1075,0.0,4.06125,0.0,3.74375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.37625,0.0,0.0,0.0,0.0,0.0,0.3425,0.0,0.16625,0.0,0.0,0.0,0.0,0.47375,0.01,0.02,0.0,0.025,0.0,0.0,0.0,0.46,0.38125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17625,0.7725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07375,0.0,0.015,0.0,0.04875,0.015,0.03875,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04875,0.0,0.0,0.0,4.07625,0.0,0.02875,0.0,0.0,0.06875,0.0,0.005,0.0,0.0,0.0,0.0,4.07125,0.0,1.29,0.0,1.02625,3.00125,4.06625,0.0,0.19,0.0,0.7625,0.0,3.64625,2.82,0.66,0.1275,0.45,0.0,0.0,0.0,0.16625,0.0,0.0,0.03375,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03875,0.0,0.14125,0.0,0.23,0.02875,0.17125,0.0,0.01,0.0,0.0,0.0,0.0,0.03375,0.005,0.0,0.02,0.06375,0.0,0.06375,0.06875,0.1025,0.02,0.0825,0.15625,0.0,0.05375,0.0,0.0,0.0,0.0,0.0,0.0,0.26875,0.0,0.29875,0.02875,0.0975,0.1025,0.0,0.0,0.0,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86375,0.0,2.5175,0.07375,0.0,0.0,0.38625,0.0,0.0,0.1125,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01625,1.33875,0.0,2.97125,4.10125,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04375,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.15625,0.0,0.445,0.02875,0.0,0.0,0.0,0.0,0.0,1.8325,1.70625,0.0,0.445,0.0,1.32,1.15375,0.14625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0825,0.0,0.0,0.0,0.0,0.14625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325,0.05375,0.18125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.02875,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2175,0.0,3.3525,2.7125,3.31375,3.09375,1.54875,0.0,0.39125,0.0,0.0,0.0,0.0975,0.0,0.0,0.0,0.0,4.07125,0.0,1.105,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60125,0.0,0.13625,0.25375,1.36375,0.0,0.0,0.0,0.0,0.0925,0.0,0.47375,0.0,0.1275,0.0,0.025,0.0,0.07375,0.0,0.3175,0.0,0.01,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.0,0.0,0.0,0.0,0.0,0.0875,0.1075,0.14125,0.3275,0.0,0.0,0.0,0.0,4.16875,2.89375,3.47,0.0,3.65625,0.0,0.625,0.0,0.68375,0.25375,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03375,0.3075,0.195,0.205,0.06375,0.215,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02,0.02,0.02875,0.0,0.0,0.7675,0.0,0.0,0.0,0.02875,0.0925,0.0925,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1075,0.0,0.0,0.03875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38625,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.1275,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04875,0.15125,0.0,0.14125,0.0,0.0,0.0,0.46375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07375,0.0,0.0,0.195,0.0925,0.0,0.05375,0.21,0.0,0.0,0.025,0.0,0.17625,0.05375,0.15625,0.0,0.07375,0.0,0.0,0.05375,0.0,0.06875,0.0,0.23,0.0,0.1075,0.02875,0.0925,0.0,0.14625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.04375,0.0,0.03875,0.0,0.0,0.0,0.0,0.0,0.0,0.03875,0.0,0.0,0.07375,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1025,0.0,0.0,0.06875,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.27875,0.03875,0.0825,0.0,0.0,0.0,0.0
